Country;Frequency Range;Allocations;Applications
"Sweden (PTS)";"113.94375 - 113.95625 MHz";"DME - Landvetter - Fristående DME";"#5D88FF"
"Sweden (PTS)";"114.59375 - 114.60625 MHz";"Landvetter ATIS - Landvetter - Landvetter Väderinformation";"#5D88FF"
"Sweden (PTS)";"115.64375 - 115.65625 MHz";"DME - Landvetter - Fristående DME";"#5D88FF"
"Sweden (PTS)";"116.79375 - 116.80625 MHz";"VFR Lindön - Lindön";"#5D88FF"
"Sweden (PTS)";"117.975 - 121.45 MHz";"Luftfartsradio";"#5D88FF"
"Sweden (PTS)";"118.36875 - 118.38125 MHz";"Väderinformation - Landvetter";"#5D88FF"
"Sweden (PTS)";"118.59875 - 118.61125 MHz";"Landvetter TWR - Landvetter - Landvetter Tower (Primary Channel)";"#5D88FF"
"Sweden (PTS)";"118.94375 - 118.95625 MHz";"- - Karlsborg";"#5D88FF"
"Sweden (PTS)";"118.99375 - 119.00625 MHz";"TOWER Säve flygplats - Säve";"#5D88FF"
"Sweden (PTS)";"119.04875 - 119.06125 MHz";"Säve TWR - Säve - Säve TWR (Primary Channel)";"#5D88FF"
"Sweden (PTS)";"119.29375 - 119.30625 MHz";"F7 Såtenäs - Hela länet - K:FV F7B";"#5D88FF"
"Sweden (PTS)";"120.11875 - 120.13125 MHz";"Landvetter APP - Landvetter - Göteborg Arrival";"#5D88FF"
"Sweden (PTS)";"121.45 - 121.55 MHz";"Luftfartsradio (ELT) (Undantag från tillståndsplikt, RR AP15)";"#FF0091"
"Sweden (PTS)";"121.55 - 137 MHz";"Luftfartsradio";"#5D88FF"
"Sweden (PTS)";"121.59875 - 121.61125 MHz";"Landvetter APRON - Landvetter - Landvetter APRON (Push-back)";"#5D88FF"
"Sweden (PTS)";"121.67375 - 121.68625 MHz";"Landvetter Delivery - Landvetter - Landvetter Clearance Delivery";"#5D88FF"
"Sweden (PTS)";"121.80875 - 121.82125 MHz";"Göteborg/Säve - Göteborg";"#5D88FF"
"Sweden (PTS)";"121.84375 - 121.85625 MHz";"Såtenäs GND - Såtenäs - Såtenäs Ground";"#5D88FF"
"Sweden (PTS)";"121.89875 - 121.91125 MHz";"Landvetter GND - Landvetter - Landvetter Ground (Taxi)";"#5D88FF"
"Sweden (PTS)";"122.71875 - 122.73125 MHz";"TROLLHÄTTAN TWR - Trollhättan";"#5D88FF"
"Sweden (PTS)";"122.79375 - 122.80625 MHz";"- - Falköping";"#5D88FF"
"Sweden (PTS)";"122.99375 - 123.00625 MHz";"F7 Såtenäs - Hela länet";"#5D88FF"
"Sweden (PTS)";"123.04875 - 123.06125 MHz";"Skövde Flygplats - Skövde";"#5D88FF"
"Sweden (PTS)";"123.09375 - 123.10625 MHz";"Landvetter TWR (SAR) - Landvetter - SAR, endast HO vid behov";"#5D88FF"
"Sweden (PTS)";"123.19375 - 123.20625 MHz";"Öresten - Hela länet";"#5D88FF"
"Sweden (PTS)";"123.51875 - 123.53125 MHz";"Borås/Viared flygfält - Borås";"#5D88FF"
"Sweden (PTS)";"123.54375 - 123.55625 MHz";"Strömstad FK (Näsinge) - Strömstad - ESGS - SWEDEN CTL 128.625";"#5D88FF"
"Sweden (PTS)";"123.64375 - 123.65625 MHz";"Alingsås fält - Alingsås";"#5D88FF"
"Sweden (PTS)";"124.19875 - 124.21125 MHz";"Landvetter APP - Landvetter - Göteborg Approach Väst";"#5D88FF"
"Sweden (PTS)";"124.66875 - 124.68125 MHz";"Landvetter APP - Landvetter - Göteborg Approach Öst";"#5D88FF"
"Sweden (PTS)";"125.82375 - 125.83625 MHz";"A/G - Karlsborg";"#5D88FF"
"Sweden (PTS)";"126.85375 - 126.86625 MHz";"A/G - Såtenäs";"#5D88FF"
"Sweden (PTS)";"127.69875 - 127.71125 MHz";"- - Såtenäs";"#5D88FF"
"Sweden (PTS)";"128.193749 - 128.206249 MHz";"F7 Såtenäs TWR - Hela länet - K:FV F7A";"#5D88FF"
"Sweden (PTS)";"129.23375 - 129.24625 MHz";"A/G - Såtenäs";"#5D88FF"
"Sweden (PTS)";"130.30375 - 130.31625 MHz";"Linköping/Malmen - Linköping";"#5D88FF"
"Sweden (PTS)";"131.40375 - 131.41625 MHz";"OPC - Göteborg";"#5D88FF"
"Sweden (PTS)";"131.44875 - 131.46125 MHz";"Göteborg/Landvetter - Göteborg";"#5D88FF"
"Sweden (PTS)";"131.473749 - 131.486249 MHz";"OPC - Trollhättan";"#5D88FF"
"Sweden (PTS)";"131.48375 - 131.49625 MHz";"Göteborg/Mölndal OPC - Göteborg";"#5D88FF"
"Sweden (PTS)";"131.54875 - 131.56125 MHz";"OPC - Göteborg";"#5D88FF"
"Sweden (PTS)";"131.62375 - 131.63625 MHz";"Göteborg/Landvetter OPC - Göteborg";"#5D88FF"
"Sweden (PTS)";"131.69875 - 131.71125 MHz";"Göteborg/Landvetter OPC - Göteborg";"#5D88FF"
"Sweden (PTS)";"131.758749 - 131.771249 MHz";"Lidklping OPC - Lidköping";"#5D88FF"
"Sweden (PTS)";"131.79875 - 131.81125 MHz";"Göteborg/Landvetter OPC - Göteborg";"#5D88FF"
"Sweden (PTS)";"131.848749 - 131.861249 MHz";"Göteborg/Landvetter - Göteborg";"#5D88FF"
"Sweden (PTS)";"131.87375 - 131.88625 MHz";"Landvetter - OPC - Göteborg";"#5D88FF"
"Sweden (PTS)";"132.04375 - 132.05625 MHz";"Karlsborg TWR - Karlsborg - Karlsborg TWR, Även APP";"#5D88FF"
"Sweden (PTS)";"132.76875 - 132.78125 MHz";"Hörs runt Landvetter - Göteborg - Tar gärna emot tips på vad det är";"#5D88FF"
"Sweden (PTS)";"132.99375 - 133.00625 MHz";"Karlsborg TWR - Karlsborg - Karlsborg TWR (Primaty Channel) Även APP";"#5D88FF"
"Sweden (PTS)";"134.54375 - 134.55625 MHz";"Såtenäs kontroll - Hela länet";"#5D88FF"
"Sweden (PTS)";"136.86875 - 136.88125 MHz";"Göteborg/Landvetter DL - Göteborg";"#5D88FF"
"Sweden (PTS)";"136.96875 - 136.98125 MHz";"Göteborg/Landvetter DL - Göteborg";"#5D88FF"
"Sweden (PTS)";"137 - 138 MHz";"Satellit (MSS nedlänk, ERC/DEC/(99)05)";"#00FFFF"
"Sweden (PTS)";"138 - 144 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"144 - 146 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"144.33775 - 144.35025 MHz";"2-metersringen (mer ...) - Borås";"#FF0000"
"Sweden (PTS)";"144.39975 - 144.41225 MHz";"Beacon - SK6VHF - Tjörn";"#FF0000"
"Sweden (PTS)";"144.50625 - 144.51875 MHz";"Link - SM6FZG - Borås";"#FF0000"
"Sweden (PTS)";"144.51875 - 144.53125 MHz";"Link - SM6FZG - Långedrag";"#FF0000"
"Sweden (PTS)";"144.54375 - 144.55625 MHz";"Crosslänk - Göteborg";"#FF0000"
"Sweden (PTS)";"144.56875 - 144.58125 MHz";"Link - SK6AG - Göteborg - Göteborg / Guldheden";"#FF0000"
"Sweden (PTS)";"144.58125 - 144.59375 MHz";"Link - SM6FZG - Mölnlycke";"#FF0000"
"Sweden (PTS)";"144.59375 - 144.60625 MHz";"Link - SM6FZG - Göteborg - Göteborg / Kortedala";"#FF0000"
"Sweden (PTS)";"144.61875 - 144.63125 MHz";"Link - SM6FZG - Hönö";"#FF0000"
"Sweden (PTS)";"144.65625 - 144.66875 MHz";"Link - SM6FZG - Myggenäs";"#FF0000"
"Sweden (PTS)";"144.66875 - 144.68125 MHz";"Link - SM6FZG - Göteborg - Göteborg / Guldheden";"#FF0000"
"Sweden (PTS)";"144.81875 - 144.83125 MHz";"Hotspot - SK6GB-D - Mölndal";"#FF0000"
"Sweden (PTS)";"144.84375 - 144.85625 MHz";"Hotspot - SG6YOW - Alingsås";"#FF0000"
"Sweden (PTS)";"145.20625 - 145.21875 MHz";"Hotspot - SK6MA-C - Hjo";"#FF0000"
"Sweden (PTS)";"145.23125 - 145.24375 MHz";"Link - SM6VAG - Hjo";"#FF0000"
"Sweden (PTS)";"145.28125 - 145.29375 MHz";"Link - SA6GDS - Istorp";"#FF0000"
"Sweden (PTS)";"145.29375 - 145.30625 MHz";"Link - SM6YRB - Lidköping - Lidköping / Kållandsö";"#FF0000"
"Sweden (PTS)";"145.31875 - 145.33125 MHz";"Gateway IRLP. SM6CYJ Götene C=71.9Hz - Götene";"#FF0000"
"Sweden (PTS)";"145.33125 - 145.34375 MHz";"D-Star ringen (mer ...) - Borås - K:V27";"#FF0000"
"Sweden (PTS)";"145.39375 - 145.40625 MHz";"Link - SA6EAL - Hajom";"#FF0000"
"Sweden (PTS)";"145.56875 - 145.58125 MHz";"DMR. - Kungshamn - K:RV46";"#FF0000"
"Sweden (PTS)";"145.58125 - 145.59375 MHz";"D-Star Repeater (mer ...) - Göteborg - K:RV47";"#FF0000"
"Sweden (PTS)";"145.59375 - 145.60625 MHz";"SK6BA/R - Kinna - K:RV48";"#FF0000"
"Sweden (PTS)";"145.60625 - 145.61875 MHz";"Repeater - SK6RPE - Kungälv";"#FF0000"
"Sweden (PTS)";"145.61875 - 145.63125 MHz";"SK6RIC - Alingsås - K:RV50";"#FF0000"
"Sweden (PTS)";"145.63125 - 145.64375 MHz";"SK6MA/R & JO78DH - Hjo - K:RV51 (R1x)";"#FF0000"
"Sweden (PTS)";"145.64375 - 145.65625 MHz";"SK6SA - Göteborg - K:RV52";"#FF0000"
"Sweden (PTS)";"145.65625 - 145.66875 MHz";"D-Star Repeater (mer ...) - Vårgårda - K:RV53";"#FF0000"
"Sweden (PTS)";"145.66875 - 145.68125 MHz";"SK6RIP - Tanumshede - K:RV54";"#FF0000"
"Sweden (PTS)";"145.68125 - 145.69375 MHz";"Repeater - SM6THE/R - Skövde";"#FF0000"
"Sweden (PTS)";"145.69375 - 145.70625 MHz";"SK6RFP - Bäckefors - K:RV56";"#FF0000"
"Sweden (PTS)";"145.70625 - 145.71875 MHz";"SK6QA/R (mer ...) - Svanesund - K:RV57";"#FF0000"
"Sweden (PTS)";"145.71875 - 145.73125 MHz";"Repeater - SK6EE/R - Skara";"#FF0000"
"Sweden (PTS)";"145.73125 - 145.74375 MHz";"SK6GX/R - Uddevalla - K:RV59";"#FF0000"
"Sweden (PTS)";"145.74375 - 145.75625 MHz";"Repeater - SK6RKI - Öckerö";"#FF0000"
"Sweden (PTS)";"145.75625 - 145.76875 MHz";"SK6DW/R - Trollhättan - K:RV61";"#FF0000"
"Sweden (PTS)";"145.76875 - 145.78125 MHz";"Repeater SK6LK-R (mer ...) - Borås - K:RV62";"#FF0000"
"Sweden (PTS)";"145.78125 - 145.79375 MHz";"Repeater - Göteborg - K:RV63";"#FF0000"
"Sweden (PTS)";"146 - 146.05 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"146.05 - 147 MHz";"PMR (ECC/DEC/(19)02, Duplex: 150,05 - 151)";"#4545FF"
"Sweden (PTS)";"146.18125 - 146.19375 MHz";"Digitalt, Hörs prat, vet ej vad - Landvetter - ColorCode: 1 Tar gärna emot tips på vad det är";"#FFFFFF"
"Sweden (PTS)";"146.30625 - 146.31875 MHz";"Guider, Läckö Slott - Lidköping";"#FFFFFF"
"Sweden (PTS)";"146.43125 - 146.44375 MHz";"Liseberg driftpersonal - Göteborg";"#FFFFFF"
"Sweden (PTS)";"147 - 148 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"147.35625 - 147.36875 MHz";"Pocsag Gothia Towers Göteborg (mer ...) - Göteborg - K:44958";"#FFCE83"
"Sweden (PTS)";"147.38125 - 147.39375 MHz";"Pocsag Göteborg (mer ...) - Göteborg - K:44958";"#FFCE83"
"Sweden (PTS)";"147.53125 - 147.54375 MHz";"Pocsag Bohus räddningstjänstförbund (mer ...) - Kungälv - K:44958";"#FFCE83"
"Sweden (PTS)";"148 - 150.05 MHz";"Jordstationer (mobila satellitsystem) (MSS upplänk, Undantag från tillståndsp...";"#00FFFF"
"Sweden (PTS)";"148.50625 - 148.51875 MHz";"Pocsag Södra Älvsborgs räddningstjänstförbund (mer ...) - Borås - K:44958";"#FFCE83"
"Sweden (PTS)";"148.95625 - 148.96875 MHz";"Pocsag Got Event Göteborg (mer ...) - Göteborg - K:44986";"#FFCE83"
"Sweden (PTS)";"149.10625 - 149.11875 MHz";"Utlarmning Swedavia Landvetter (mer ...) - Landvetter";"#FFCE83"
"Sweden (PTS)";"149.38125 - 149.39375 MHz";"Brand utlarmning Mark - Kinna";"#FFCE83"
"Sweden (PTS)";"150.05 - 151 MHz";"PMR (ECC/DEC/(19)02, Duplex: 146,05 - 147)";"#4545FF"
"Sweden (PTS)";"150.58125 - 150.59375 MHz";"Angered/Gårdsten - Göteborg - Troligen 69MHz-folk som köpt egen frekvens från PTS";"#FFFFFF"
"Sweden (PTS)";"151 - 154 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"153.04375 - 153.05625 MHz";"Basradio - Såtenäs - K:1B";"#FFFFFF"
"Sweden (PTS)";"154 - 155.9875 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"155.9875 - 156.0125 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"156.0125 - 156.2875 MHz";"Sjöfartsradio (RR AP18, ECC/DEC/(19)03, Duplex: 160,6125 - 160,8875)";"#008080"
"Sweden (PTS)";"156.2875 - 156.3125 MHz";"Sjöfartsradio (RR AP15, RR AP18)";"#008080"
"Sweden (PTS)";"156.3125 - 156.3625 MHz";"Sjöfartsradio (RR AP18, ECC/DEC/(19)03, Duplex: 160,9125 - 160,9625)";"#008080"
"Sweden (PTS)";"156.3625 - 156.5125 MHz";"Sjöfartsradio (RR AP18)";"#008080"
"Sweden (PTS)";"156.44375 - 156.45625 MHz";"VTS Trollhättan - Göteborg - K:9";"#008080"
"Sweden (PTS)";"156.49375 - 156.50625 MHz";"Lysekil VTS - Lysekil";"#008080"
"Sweden (PTS)";"156.5125 - 156.5375 MHz";"Sjöfartsradio (RR AP15, RR AP18)";"#008080"
"Sweden (PTS)";"156.5375 - 156.6375 MHz";"Sjöfartsradio (RR AP18)";"#008080"
"Sweden (PTS)";"156.54375 - 156.55625 MHz";"VTS Marstrand - Marstrand - K:11";"#008080"
"Sweden (PTS)";"156.6375 - 156.6625 MHz";"Sjöfartsradio (RR AP15, RR AP18)";"#008080"
"Sweden (PTS)";"156.64375 - 156.65625 MHz";"VTS Göteborg - Göteborg - K:13";"#008080"
"Sweden (PTS)";"156.6625 - 156.7875 MHz";"Sjöfartsradio (RR AP18)";"#008080"
"Sweden (PTS)";"156.66875 - 156.68125 MHz";"Norra Kattegatt VHS - -";"#008080"
"Sweden (PTS)";"156.7875 - 156.8125 MHz";"Sjöfartsradio (RR AP15, RR AP18)";"#008080"
"Sweden (PTS)";"156.8125 - 156.8875 MHz";"Sjöfartsradio (RR AP18)";"#008080"
"Sweden (PTS)";"156.86875 - 156.88125 MHz";"Färjor till Hönö med fler - Hönö";"#008080"
"Sweden (PTS)";"156.8875 - 157.0125 MHz";"Sjöfartsradio (RR AP18, Duplex: 161,4875 - 161,6125)";"#008080"
"Sweden (PTS)";"157.0125 - 157.1875 MHz";"Sjöfartsradio (RR AP18, ECC/DEC/(19)03, Duplex: 161,6125 - 161,7875)";"#008080"
"Sweden (PTS)";"157.1875 - 157.3375 MHz";"Sjöfartsradio (RR AP18, ECC/DEC/(19)03)";"#008080"
"Sweden (PTS)";"157.3375 - 157.4375 MHz";"Sjöfartsradio (RR AP18)";"#008080"
"Sweden (PTS)";"157.4375 - 158.075 MHz";"PMR";"#4545FF"
"Sweden (PTS)";"158.00625 - 158.01875 MHz";"Personsökare - Trollhättan";"#DBFFEC"
"Sweden (PTS)";"158.075 - 160.6 MHz";"PMR (Duplex: 166,075 - 168,6)";"#4545FF"
"Sweden (PTS)";"160.6 - 160.6125 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"160.6125 - 160.8875 MHz";"Sjöfartsradio (RR AP18, ECC/DEC/(19)03, Duplex: 156,0125 - 156,2875)";"#008080"
"Sweden (PTS)";"160.61875 - 160.63125 MHz";"Marin UHF Stockholmradio - Göteborg - Fartyg 156.02500 MHz - Kust 160.62500 MHz";"#008080"
"Sweden (PTS)";"160.64375 - 160.65625 MHz";"Stockholmradio (mer ...) - Hällekis - K:1";"#008080"
"Sweden (PTS)";"160.66875 - 160.68125 MHz";"Marinradio Uddevalla - Uddevalle - 156.075";"#008080"
"Sweden (PTS)";"160.69375 - 160.70625 MHz";"Marin UHF Stockholmradio - Trolhättan - Fartyg 156.10000 MHz - Kust 160.70000 MHz";"#008080"
"Sweden (PTS)";"160.71875 - 160.73125 MHz";"Marin UHF Stockholmradio - Grebbestad - Fartyg 156.12500 MHz - Kust 160.72500 MHz";"#008080"
"Sweden (PTS)";"160.84375 - 160.85625 MHz";"Marin UHF Stockholmradio - Bäckefors - Fartyg 156.25000 MHz - Kust 160.85000 MHz";"#008080"
"Sweden (PTS)";"160.8875 - 160.9125 MHz";"Sjöfartsradio (RR AP18, ECC/DEC/(22)02)";"#008080"
"Sweden (PTS)";"160.9125 - 160.9625 MHz";"Sjöfartsradio (RR AP18, ECC/DEC/(19)03, Duplex: 156,3125 - 156,3625)";"#008080"
"Sweden (PTS)";"160.9625 - 161.4875 MHz";"PMR";"#4545FF"
"Sweden (PTS)";"161.4875 - 161.6125 MHz";"Sjöfartsradio (RR AP18, ECC/DEC/(19)03, Duplex: 156,8875 - 157,0125)";"#008080"
"Sweden (PTS)";"161.51875 - 161.53125 MHz";"Stockholmradio (mer ...) - Bäckefors - K:78";"#008080"
"Sweden (PTS)";"161.6125 - 161.7875 MHz";"Sjöfartsradio (RR AP18, ECC/DEC/(19)03, Duplex: 157,0125 - 157,1875)";"#008080"
"Sweden (PTS)";"161.66875 - 161.68125 MHz";"Stockholmradio - Skärhamn - K:81";"#008080"
"Sweden (PTS)";"161.69375 - 161.70625 MHz";"Stockholmradio (mer ...) - Strömstad - K:22";"#008080"
"Sweden (PTS)";"161.74375 - 161.75625 MHz";"Stockholmradio (mer ...) - Kungshamn - K:23";"#008080"
"Sweden (PTS)";"161.7875 - 161.9625 MHz";"Sjöfartsradio (RR AP18, ECC/DEC/(19)03)";"#008080"
"Sweden (PTS)";"161.79375 - 161.80625 MHz";"Stockholmradio (mer ...) - Göteborg - K:24";"#008080"
"Sweden (PTS)";"161.81875 - 161.83125 MHz";"Stockholmradio (mer ...) - Uddevalla - K:84";"#008080"
"Sweden (PTS)";"161.84375 - 161.85625 MHz";"Stockholmradio (mer ...) - Trollhättan - K:25";"#008080"
"Sweden (PTS)";"161.89375 - 161.90625 MHz";"Stockholmradio (mer ...) - Grebbestad - K:26";"#008080"
"Sweden (PTS)";"161.9625 - 161.9875 MHz";"Sjöfartsradio (RR AP15, RR AP18)";"#008080"
"Sweden (PTS)";"161.9875 - 162.0125 MHz";"Sjöfartsradio (RR AP18)";"#008080"
"Sweden (PTS)";"162.0125 - 162.0375 MHz";"Sjöfartsradio (RR AP15, RR AP18)";"#008080"
"Sweden (PTS)";"162.0375 - 163 MHz";"PMR (Duplex: 170,025 - 171)";"#4545FF"
"Sweden (PTS)";"163 - 164 MHz";"Militär användning (Duplex: 171 - 172)";"#90EE90"
"Sweden (PTS)";"164 - 166 MHz";"PMR (Duplex: 172 - 174)";"#4545FF"
"Sweden (PTS)";"166 - 166.075 MHz";"PMR";"#4545FF"
"Sweden (PTS)";"166.075 - 168.6 MHz";"PMR (Duplex: 158,075 - 160,6)";"#4545FF"
"Sweden (PTS)";"166.15625 - 166.16875 MHz";"STCC. Skövde C=71.9Hz - Skövde - 158.1625";"#DBFFEC"
"Sweden (PTS)";"166.18125 - 166.19375 MHz";"Industri (mer ...) - Göteborg";"#FFFFFF"
"Sweden (PTS)";"166.20625 - 166.21875 MHz";"VRS - Göteborg - K:1";"#FFFFFF"
"Sweden (PTS)";"166.25625 - 166.26875 MHz";"FRO Västra frölunda - Göteborg - 158.2625";"#DBFFEC"
"Sweden (PTS)";"166.53375 - 166.54625 MHz";"Prat, vet ej vad - Landvetter - Tar gärna emot tips på vad det är";"#FFFFFF"
"Sweden (PTS)";"166.88125 - 166.89375 MHz";"Taxi Borås - Borås";"#91FF00"
"Sweden (PTS)";"167.10625 - 167.11875 MHz";"Taxi - Falköping - K:1";"#FFFFFF"
"Sweden (PTS)";"167.20624 - 167.21874 MHz";"Arkitektkopia - Göteborg";"#FFFFFF"
"Sweden (PTS)";"167.75625 - 167.76875 MHz";"VRS - Björketorp - K:2";"#FFFFFF"
"Sweden (PTS)";"167.90625 - 167.91875 MHz";"FRO Västra frölunda - Göteborg - 159.9125";"#DBFFEC"
"Sweden (PTS)";"168.06875 - 168.08125 MHz";"Ambulans Halden - Ed";"#FFFFFF"
"Sweden (PTS)";"168.6 - 168.625 MHz";"Ej tilldelat";"#FFFFFF"
"Sweden (PTS)";"168.625 - 170.025 MHz";"PMR";"#4545FF"
"Sweden (PTS)";"169.08125 - 169.09375 MHz";"Pocsag Samhällskydd Mellersta Skaraborg (mer ...) - Falköping - K:44927";"#FFCE83"
"Sweden (PTS)";"170.025 - 171 MHz";"PMR (Duplex: 162,025 - 163)";"#4545FF"
"Sweden (PTS)";"170.40625 - 170.41875 MHz";"Securitas - Borås - K:5";"#D00098"
"Sweden (PTS)";"170.83375 - 170.84625 MHz";"Securitas - Alingsås";"#D00098"
"Sweden (PTS)";"171 - 172 MHz";"Militär användning (Duplex: 163 - 164)";"#90EE90"
"Sweden (PTS)";"172 - 174 MHz";"PMR (Duplex: 164 - 166)";"#4545FF"
"Sweden (PTS)";"174 - 223 MHz";"Rundradio (T-DAB) (Även DVB-T2, Band III, kanal 5 - 11, GE06)";"#00FF9A"
"Sweden (PTS)";"181.92975 - 181.94225 MHz";"NRJ - Göteborg - Bauer";"#DBFFEC"
"Sweden (PTS)";"185.35375 - 185.36625 MHz";"Bandit Rock - Göteborg - Viaplay";"#DBFFEC"
"Sweden (PTS)";"223 - 230 MHz";"Rundradio (T-DAB) (Även DVB-T2, Band III, kanal 12, GE06)";"#00FF9A"
"Sweden (PTS)";"223.92975 - 223.94225 MHz";"DAB - Hela länet - K:12A";"#00FF9A"
"Sweden (PTS)";"225.64175 - 225.65425 MHz";"SR P1 - Göteborg - Sveriges Radio";"#DBFFEC"
"Sweden (PTS)";"230 - 240 MHz";"Rundradio (T-DAB) (WI95revCO07, Regeringens beslut om sändningsutrymme för ko...";"#00FF9A"
"Sweden (PTS)";"240 - 242.95 MHz";"Luftfartsradio";"#5D88FF"
"Sweden (PTS)";"242.95 - 243.05 MHz";"SAR (kommunikation)";"#FF0091"
"Sweden (PTS)";"243.05 - 267 MHz";"Luftfartsradio";"#5D88FF"
"Sweden (PTS)";"244.79375 - 244.80625 MHz";"Flygvapnet STRIL - Hela länet - K:747";"#5D88FF"
"Sweden (PTS)";"267 - 328.6 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"275.84375 - 275.85625 MHz";"Flygvapnet STRIL - Hela länet - K:Krabban 305";"#5D88FF"
"Sweden (PTS)";"290.69375 - 290.70625 MHz";"Flygvapnet STRIL - Hela länet - K:Tigern 307";"#5D88FF"
"Sweden (PTS)";"328.6 - 335.4 MHz";"Radionavigering för luftfart (ILS Glide Path)";"#00FF7F"
"Sweden (PTS)";"329.89375 - 329.90625 MHz";"Glidbane-sändare - Landvetter - Bana 21";"#5D88FF"
"Sweden (PTS)";"334.99375 - 335.00625 MHz";"Glidbane-sändare - Landvetter - Bana 03";"#5D88FF"
"Sweden (PTS)";"335.4 - 380 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"375.41875 - 375.43125 MHz";"Västtrafik Informerar om förseni - Göteborg";"#FFFFFF"
"Sweden (PTS)";"380 - 385 MHz";"TETRA (Blocktillstånd, Rakel, Duplex: 390 - 395)";"#00FF89"
"Sweden (PTS)";"385 - 386 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"386 - 387 MHz";"Fast radio (Svensk kanalplan, Smalbandig, Duplex: 370 - 371)";"#FF0077"
"Sweden (PTS)";"387 - 390 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"390 - 395 MHz";"Landmobil radio (Blocktillstånd, Rakel, Duplex: 380 - 385)";"#00FF89"
"Sweden (PTS)";"395 - 399.9 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"399.9 - 400.05 MHz";"Jordstationer (mobila satellitsystem) (MSS upplänk)";"#00FFFF"
"Sweden (PTS)";"400.05 - 400.15 MHz";"Standardfrekvens och tidssignal via satellit";"#00FFFF"
"Sweden (PTS)";"400.15 - 401 MHz";"Satellit (MSS nedlänk, ERC/DEC/(99)05)";"#00FFFF"
"Sweden (PTS)";"401 - 402 MHz";"Meteorologi";"#738FFF"
